Trial,Concentration,soil_well,plate_unique,plate_id,plate_well,rfu
,,,plate_3,RFP_1_plate_1_shaking,C10,3.905
,,,plate_3,RFP_1_plate_1_shaking,C11,3.38
,,,plate_3,RFP_1_plate_1_shaking,C12,4.356
,,,plate_3,RFP_1_plate_1_shaking,D1,13.366
,,,plate_3,RFP_1_plate_1_shaking,D2,379.736
,,,plate_3,RFP_1_plate_1_shaking,D3,380.407
,,,plate_3,RFP_1_plate_1_shaking,D4,309.589
,,,plate_3,RFP_1_plate_1_shaking,D5,426.307
,,,plate_3,RFP_1_plate_1_shaking,D6,430.21
,,,plate_3,RFP_1_plate_1_shaking,D7,351.556
,,,plate_3,RFP_1_plate_1_shaking,D8,317.43
,,,plate_3,RFP_1_plate_1_shaking,D9,4.386
,,,plate_3,RFP_1_plate_1_shaking,D10,3.911
,,,plate_3,RFP_1_plate_1_shaking,D11,3.869
,,,plate_3,RFP_1_plate_1_shaking,D12,4.301
,,,plate_3,RFP_1_plate_1_shaking,E1,14.148
,,,plate_3,RFP_1_plate_1_shaking,E2,442.603
,,,plate_3,RFP_1_plate_1_shaking,E3,369.038
,,,plate_3,RFP_1_plate_1_shaking,E4,312.447
,,,plate_3,RFP_1_plate_1_shaking,E5,417.038
,,,plate_3,RFP_1_plate_1_shaking,E6,424.054
,,,plate_3,RFP_1_plate_1_shaking,E7,365.825
,,,plate_3,RFP_1_plate_1_shaking,E8,315.088
,,,plate_3,RFP_1_plate_1_shaking,E9,3.961
,,,plate_3,RFP_1_plate_1_shaking,E10,3.9
,,,plate_3,RFP_1_plate_1_shaking,E11,3.69
,,,plate_3,RFP_1_plate_1_shaking,E12,4.394
,,,plate_3,RFP_1_plate_1_shaking,F1,20.367
,,,plate_3,RFP_1_plate_1_shaking,F2,330.348
,,,plate_3,RFP_1_plate_1_shaking,F3,392.01
,,,plate_3,RFP_1_plate_1_shaking,F4,319.91
,,,plate_3,RFP_1_plate_1_shaking,F5,420.938
,,,plate_3,RFP_1_plate_1_shaking,F6,432.521
,,,plate_3,RFP_1_plate_1_shaking,F7,372.472
,,,plate_3,RFP_1_plate_1_shaking,F8,4
,,,plate_3,RFP_1_plate_1_shaking,F9,3.888
,,,plate_3,RFP_1_plate_1_shaking,F10,4.388
,,,plate_3,RFP_1_plate_1_shaking,F11,3.485
,,,plate_3,RFP_1_plate_1_shaking,F12,4.892
,,,plate_3,RFP_1_plate_1_shaking,G1,17.516
,,,plate_3,RFP_1_plate_1_shaking,G2,117.41
,,,plate_3,RFP_1_plate_1_shaking,G3,414.097
,,,plate_3,RFP_1_plate_1_shaking,G4,338.629
,,,plate_3,RFP_1_plate_1_shaking,G5,409.14
,,,plate_3,RFP_1_plate_1_shaking,G6,440.172
,,,plate_3,RFP_1_plate_1_shaking,G7,434.682
,,,plate_3,RFP_1_plate_1_shaking,G8,3.813
,,,plate_3,RFP_1_plate_1_shaking,G9,3.318
,,,plate_3,RFP_1_plate_1_shaking,G10,3.789
,,,plate_3,RFP_1_plate_1_shaking,G11,3.565
,,,plate_3,RFP_1_plate_1_shaking,G12,4.166
,,,plate_3,RFP_1_plate_1_shaking,H1,18.552
,,,plate_3,RFP_1_plate_1_shaking,H2,110.305
,,,plate_3,RFP_1_plate_1_shaking,H3,450.701
,,,plate_3,RFP_1_plate_1_shaking,H4,375.726
,,,plate_3,RFP_1_plate_1_shaking,H5,460.327
,,,plate_3,RFP_1_plate_1_shaking,H6,507.414
,,,plate_3,RFP_1_plate_1_shaking,H7,432.302
,,,plate_3,RFP_1_plate_1_shaking,H8,380.912
,,,plate_3,RFP_1_plate_1_shaking,H9,4.059
,,,plate_3,RFP_1_plate_1_shaking,H10,4.434
,,,plate_3,RFP_1_plate_1_shaking,H11,4.179
,,,plate_3,RFP_1_plate_1_shaking,H12,4.17
Bio_1,dil_10^-1,B2,plate_4,RFP_2_plate_1,A1,18.79
,,,plate_4,RFP_2_plate_1,A2,550.5
,,,plate_4,RFP_2_plate_1,A3,386.863
,,,plate_4,RFP_2_plate_1,A4,351.463
,,,plate_4,RFP_2_plate_1,A5,444.795
,,,plate_4,RFP_2_plate_1,A6,439.107
,,,plate_4,RFP_2_plate_1,A7,400.239
,,,plate_4,RFP_2_plate_1,A8,3.998
,,,plate_4,RFP_2_plate_1,A9,3.859
,,,plate_4,RFP_2_plate_1,A10,3.343
,,,plate_4,RFP_2_plate_1,A11,4.032
,,,plate_4,RFP_2_plate_1,A12,3.34
,,,plate_4,RFP_2_plate_1,B1,16.935
,,,plate_4,RFP_2_plate_1,B2,183.167
,,,plate_4,RFP_2_plate_1,B3,331.357
,,,plate_4,RFP_2_plate_1,B4,323.751
,,,plate_4,RFP_2_plate_1,B5,415.192
,,,plate_4,RFP_2_plate_1,B6,427.963
,,,plate_4,RFP_2_plate_1,B7,373.809
,,,plate_4,RFP_2_plate_1,B8,3.995
,,,plate_4,RFP_2_plate_1,B9,3.575
,,,plate_4,RFP_2_plate_1,B10,3.792
,,,plate_4,RFP_2_plate_1,B11,3.33
,,,plate_4,RFP_2_plate_1,B12,3.667
,,,plate_4,RFP_2_plate_1,C1,17.799
,,,plate_4,RFP_2_plate_1,C2,120.019
,,,plate_4,RFP_2_plate_1,C3,338.586
,,,plate_4,RFP_2_plate_1,C4,312.632
,,,plate_4,RFP_2_plate_1,C5,403.416
,,,plate_4,RFP_2_plate_1,C6,409.265
,,,plate_4,RFP_2_plate_1,C7,361.364
,,,plate_4,RFP_2_plate_1,C8,296.203
,,,plate_4,RFP_2_plate_1,C9,3.688
,,,plate_4,RFP_2_plate_1,C10,3.613
,,,plate_4,RFP_2_plate_1,C11,3.237
,,,plate_4,RFP_2_plate_1,C12,3.794
,,,plate_4,RFP_2_plate_1,D1,21.502
,,,plate_4,RFP_2_plate_1,D2,342.329
,,,plate_4,RFP_2_plate_1,D3,340.542
,,,plate_4,RFP_2_plate_1,D4,310.414
,,,plate_4,RFP_2_plate_1,D5,399.587
,,,plate_4,RFP_2_plate_1,D6,404.467
,,,plate_4,RFP_2_plate_1,D7,368.503
,,,plate_4,RFP_2_plate_1,D8,3.733
,,,plate_4,RFP_2_plate_1,D9,3.604
,,,plate_4,RFP_2_plate_1,D10,3.616
,,,plate_4,RFP_2_plate_1,D11,3.555
,,,plate_4,RFP_2_plate_1,D12,3.766
,,,plate_4,RFP_2_plate_1,E1,16.748
,,,plate_4,RFP_2_plate_1,E2,338.424
,,,plate_4,RFP_2_plate_1,E3,337.294
,,,plate_4,RFP_2_plate_1,E4,304.829
,,,plate_4,RFP_2_plate_1,E5,390.787
,,,plate_4,RFP_2_plate_1,E6,399.279
,,,plate_4,RFP_2_plate_1,E7,361.2
,,,plate_4,RFP_2_plate_1,E8,294.888
,,,plate_4,RFP_2_plate_1,E9,4.071
,,,plate_4,RFP_2_plate_1,E10,3.642
,,,plate_4,RFP_2_plate_1,E11,3.67
,,,plate_4,RFP_2_plate_1,E12,4.133
,,,plate_4,RFP_2_plate_1,F1,17.033
,,,plate_4,RFP_2_plate_1,F2,247.78
,,,plate_4,RFP_2_plate_1,F3,350.986
,,,plate_4,RFP_2_plate_1,F4,310.284
,,,plate_4,RFP_2_plate_1,F5,392.268
,,,plate_4,RFP_2_plate_1,F6,405.241
,,,plate_4,RFP_2_plate_1,F7,370.91
,,,plate_4,RFP_2_plate_1,F8,4.1
,,,plate_4,RFP_2_plate_1,F9,3.701
,,,plate_4,RFP_2_plate_1,F10,3.726
,,,plate_4,RFP_2_plate_1,F11,3.706
,,,plate_4,RFP_2_plate_1,F12,3.848
,,,plate_4,RFP_2_plate_1,G1,17.527
,,,plate_4,RFP_2_plate_1,G2,254.694
,,,plate_4,RFP_2_plate_1,G3,358.397
,,,plate_4,RFP_2_plate_1,G4,335.548
,,,plate_4,RFP_2_plate_1,G5,401.437
,,,plate_4,RFP_2_plate_1,G6,413.063
,,,plate_4,RFP_2_plate_1,G7,400.591
,,,plate_4,RFP_2_plate_1,G8,3.551
,,,plate_4,RFP_2_plate_1,G9,3.702
,,,plate_4,RFP_2_plate_1,G10,3.483
,,,plate_4,RFP_2_plate_1,G11,3.387
,,,plate_4,RFP_2_plate_1,G12,3.868
,,,plate_4,RFP_2_plate_1,H1,23.213
,,,plate_4,RFP_2_plate_1,H2,87.529
,,,plate_4,RFP_2_plate_1,H3,482.653
,,,plate_4,RFP_2_plate_1,H4,396.437
,,,plate_4,RFP_2_plate_1,H5,430.821
,,,plate_4,RFP_2_plate_1,H6,430.664
,,,plate_4,RFP_2_plate_1,H7,435.667
,,,plate_4,RFP_2_plate_1,H8,3.545
,,,plate_4,RFP_2_plate_1,H9,380.488
,,,plate_4,RFP_2_plate_1,H10,3.875
,,,plate_4,RFP_2_plate_1,H11,3.365
