plate_unique,plate_id,plate_well,rfu
plate_2,RFP_3_plate_1,G9,3.114
plate_2,RFP_3_plate_1,G10,2.987
plate_2,RFP_3_plate_1,G11,3.004
plate_2,RFP_3_plate_1,G12,3.38
plate_2,RFP_3_plate_1,H1,23.995
plate_2,RFP_3_plate_1,H2,13.336
plate_2,RFP_3_plate_1,H3,3.914
plate_2,RFP_3_plate_1,H4,3.814
plate_2,RFP_3_plate_1,H5,2.919
plate_2,RFP_3_plate_1,H6,3.414
plate_2,RFP_3_plate_1,H7,3.11
plate_2,RFP_3_plate_1,H8,2.805
plate_2,RFP_3_plate_1,H9,2.756
plate_2,RFP_3_plate_1,H10,3.233
plate_2,RFP_3_plate_1,H11,3.193
plate_2,RFP_3_plate_1,H12,3.013
plate_3,RFP_1_plate_1_shaking,A1,17.461
plate_3,RFP_1_plate_1_shaking,A2,10.275
plate_3,RFP_1_plate_1_shaking,A3,4.558
plate_3,RFP_1_plate_1_shaking,A4,3.777
plate_3,RFP_1_plate_1_shaking,A5,3.809
plate_3,RFP_1_plate_1_shaking,A6,4.111
plate_3,RFP_1_plate_1_shaking,A7,3.106
plate_3,RFP_1_plate_1_shaking,A8,3.472
plate_3,RFP_1_plate_1_shaking,A9,2.815
plate_3,RFP_1_plate_1_shaking,A10,3.378
plate_3,RFP_1_plate_1_shaking,A11,3.342
plate_3,RFP_1_plate_1_shaking,A12,4.23
plate_3,RFP_1_plate_1_shaking,B1,18.705
plate_3,RFP_1_plate_1_shaking,B2,11.294
plate_3,RFP_1_plate_1_shaking,B3,4.145
plate_3,RFP_1_plate_1_shaking,B4,3.023
plate_3,RFP_1_plate_1_shaking,B5,3.753
plate_3,RFP_1_plate_1_shaking,B6,4.085
plate_3,RFP_1_plate_1_shaking,B7,3.226
plate_3,RFP_1_plate_1_shaking,B8,3.34
plate_3,RFP_1_plate_1_shaking,B9,3.756
plate_3,RFP_1_plate_1_shaking,B10,3.437
plate_3,RFP_1_plate_1_shaking,B11,3.588
plate_3,RFP_1_plate_1_shaking,B12,3.71
plate_3,RFP_1_plate_1_shaking,C1,18.984
plate_3,RFP_1_plate_1_shaking,C2,10.807
plate_3,RFP_1_plate_1_shaking,C3,3.986
plate_3,RFP_1_plate_1_shaking,C4,3.881
plate_3,RFP_1_plate_1_shaking,C5,3.511
plate_3,RFP_1_plate_1_shaking,C6,3.631
plate_3,RFP_1_plate_1_shaking,C7,3.153
plate_3,RFP_1_plate_1_shaking,C8,3.685
plate_3,RFP_1_plate_1_shaking,C9,3.349
plate_3,RFP_1_plate_1_shaking,C10,3.572
plate_3,RFP_1_plate_1_shaking,C11,3.331
plate_3,RFP_1_plate_1_shaking,C12,4.245
plate_3,RFP_1_plate_1_shaking,D1,16.891
plate_3,RFP_1_plate_1_shaking,D2,11.225
plate_3,RFP_1_plate_1_shaking,D3,3.95
plate_3,RFP_1_plate_1_shaking,D4,4.205
plate_3,RFP_1_plate_1_shaking,D5,3.644
plate_3,RFP_1_plate_1_shaking,D6,3.899
plate_3,RFP_1_plate_1_shaking,D7,3.416
plate_3,RFP_1_plate_1_shaking,D8,3.609
plate_3,RFP_1_plate_1_shaking,D9,3.051
plate_3,RFP_1_plate_1_shaking,D10,3.158
plate_3,RFP_1_plate_1_shaking,D11,3.204
plate_3,RFP_1_plate_1_shaking,D12,4.599
plate_3,RFP_1_plate_1_shaking,E1,17.691
plate_3,RFP_1_plate_1_shaking,E2,10.101
plate_3,RFP_1_plate_1_shaking,E3,3.764
plate_3,RFP_1_plate_1_shaking,E4,3.44
plate_3,RFP_1_plate_1_shaking,E5,3.991
plate_3,RFP_1_plate_1_shaking,E6,3.495
plate_3,RFP_1_plate_1_shaking,E7,3.677
plate_3,RFP_1_plate_1_shaking,E8,3.324
plate_3,RFP_1_plate_1_shaking,E9,3.302
plate_3,RFP_1_plate_1_shaking,E10,2.852
plate_3,RFP_1_plate_1_shaking,E11,3.52
plate_3,RFP_1_plate_1_shaking,E12,4.294
plate_3,RFP_1_plate_1_shaking,F1,17.713
plate_3,RFP_1_plate_1_shaking,F2,9.766
plate_3,RFP_1_plate_1_shaking,F3,4.399
plate_3,RFP_1_plate_1_shaking,F4,3.009
plate_3,RFP_1_plate_1_shaking,F5,3.427
plate_3,RFP_1_plate_1_shaking,F6,3.581
plate_3,RFP_1_plate_1_shaking,F7,3.733
plate_3,RFP_1_plate_1_shaking,F8,3.707
plate_3,RFP_1_plate_1_shaking,F9,2.964
plate_3,RFP_1_plate_1_shaking,F10,3.176
plate_3,RFP_1_plate_1_shaking,F11,3.509
plate_3,RFP_1_plate_1_shaking,F12,4.581
plate_3,RFP_1_plate_1_shaking,G1,19.354
plate_3,RFP_1_plate_1_shaking,G2,11.517
plate_3,RFP_1_plate_1_shaking,G3,4.06
plate_3,RFP_1_plate_1_shaking,G4,3.371
plate_3,RFP_1_plate_1_shaking,G5,3.402
plate_3,RFP_1_plate_1_shaking,G6,3.784
plate_3,RFP_1_plate_1_shaking,G7,2.722
plate_3,RFP_1_plate_1_shaking,G8,3.593
plate_3,RFP_1_plate_1_shaking,G9,3.583
plate_3,RFP_1_plate_1_shaking,G10,3.836
plate_3,RFP_1_plate_1_shaking,G11,3.256
plate_3,RFP_1_plate_1_shaking,G12,4.195
plate_3,RFP_1_plate_1_shaking,H1,17.668
plate_3,RFP_1_plate_1_shaking,H2,10.239
plate_3,RFP_1_plate_1_shaking,H3,3.902
plate_3,RFP_1_plate_1_shaking,H4,3.508
plate_3,RFP_1_plate_1_shaking,H5,3.309
plate_3,RFP_1_plate_1_shaking,H6,3.226
plate_3,RFP_1_plate_1_shaking,H7,3.542
plate_3,RFP_1_plate_1_shaking,H8,3.468
plate_3,RFP_1_plate_1_shaking,H9,3.035
plate_3,RFP_1_plate_1_shaking,H10,3.4
plate_3,RFP_1_plate_1_shaking,H11,3.665
plate_3,RFP_1_plate_1_shaking,H12,4.924
plate_4,RFP_2_plate_1,A1,15.54
plate_4,RFP_2_plate_1,A2,11.251
plate_4,RFP_2_plate_1,A3,3.324
plate_4,RFP_2_plate_1,A4,3.356
plate_4,RFP_2_plate_1,A5,2.977
plate_4,RFP_2_plate_1,A6,3.439
plate_4,RFP_2_plate_1,A7,3.051
plate_4,RFP_2_plate_1,A8,3.453
plate_4,RFP_2_plate_1,A9,3.098
plate_4,RFP_2_plate_1,A10,3.589
plate_4,RFP_2_plate_1,A11,3.258
plate_4,RFP_2_plate_1,A12,3.117
plate_4,RFP_2_plate_1,B1,14.89
plate_4,RFP_2_plate_1,B2,11.887
plate_4,RFP_2_plate_1,B3,3.53
plate_4,RFP_2_plate_1,B4,3.12
plate_4,RFP_2_plate_1,B5,3.116
plate_4,RFP_2_plate_1,B6,3.132
plate_4,RFP_2_plate_1,B7,2.976
plate_4,RFP_2_plate_1,B8,3.267
plate_4,RFP_2_plate_1,B9,2.903
plate_4,RFP_2_plate_1,B10,2.984
plate_4,RFP_2_plate_1,B11,3.146
plate_4,RFP_2_plate_1,B12,3.145
plate_4,RFP_2_plate_1,C1,16.362
plate_4,RFP_2_plate_1,C2,10.603
plate_4,RFP_2_plate_1,C3,3.5
plate_4,RFP_2_plate_1,C4,2.968
plate_4,RFP_2_plate_1,C5,2.995
plate_4,RFP_2_plate_1,C6,2.961
plate_4,RFP_2_plate_1,C7,3.062
plate_4,RFP_2_plate_1,C8,2.855
plate_4,RFP_2_plate_1,C9,2.755
